,0,1,2
347,0,0,1
348,1,0,0
349,0,0,1
350,0,1,0
351,1,0,0
352,0,1,0
353,0,0,1
354,1,0,0
355,0,0,1
356,0,1,0
357,1,0,0
358,0,1,0
359,0,0,1
360,1,0,0
361,0,0,1
362,0,1,0
363,1,0,0
364,0,1,0
365,0,0,1
366,1,0,0
367,0,0,1
368,0,1,0
369,1,0,0
370,0,1,0
371,0,0,1
372,1,0,0
373,0,0,1
374,0,1,0
375,1,0,0
376,0,1,0
377,0,0,1
378,1,0,0
379,0,0,1
380,0,1,0
381,1,0,0
382,0,1,0
383,0,0,1
384,1,0,0
385,0,0,1
386,0,1,0
387,1,0,0
388,0,1,0
389,0,0,1
390,1,0,0
391,0,0,1
392,0,1,0
393,1,0,0
394,0,1,0
395,0,0,1
396,1,0,0
397,0,0,1
398,0,1,0
399,1,0,0
400,0,1,0
401,0,0,1
402,1,0,0
403,0,0,1
404,0,1,0
405,1,0,0
406,0,1,0
407,0,0,1
408,1,0,0
409,0,0,1
410,0,1,0
411,1,0,0
412,0,1,0
413,0,0,1
414,1,0,0
415,0,0,1
416,0,1,0
417,1,0,0
418,0,1,0
419,0,0,1
420,1,0,0
421,0,0,1
422,0,1,0
423,1,0,0
424,0,1,0
425,0,0,1
426,1,0,0
427,0,0,1
428,0,1,0
429,1,0,0
430,0,1,0
431,0,0,1
432,1,0,0
433,0,0,1
434,0,1,0
435,1,0,0
436,0,1,0
437,0,0,1
438,1,0,0
439,0,0,1
440,0,1,0
441,1,0,0
442,0,1,0
443,0,0,1
444,1,0,0
445,0,0,1
446,0,1,0
447,1,0,0
448,0,1,0
449,0,0,1
450,1,0,0
451,0,0,1
452,0,1,0
453,1,0,0
454,0,1,0
455,0,0,1
456,1,0,0
457,0,0,1
458,0,1,0
459,1,0,0
460,0,1,0
461,0,0,1
462,1,0,0
463,0,0,1
464,0,1,0
465,1,0,0
466,0,1,0
467,0,0,1
468,1,0,0
469,0,0,1
470,0,1,0
471,1,0,0
472,0,1,0
473,0,0,1
474,1,0,0
475,0,0,1
476,0,1,0
477,1,0,0
478,0,1,0
479,0,0,1
480,1,0,0
481,0,0,1
482,0,1,0
483,1,0,0
484,0,1,0
485,0,0,1
486,1,0,0
487,0,0,1
488,0,1,0
489,1,0,0
490,0,1,0
491,0,0,1
492,1,0,0
493,0,0,1
494,0,1,0
495,1,0,0
496,0,1,0
497,0,0,1
498,1,0,0
499,0,0,1
500,0,1,0
501,1,0,0
502,0,1,0
503,0,0,1
504,1,0,0
505,0,0,1
506,0,1,0
507,1,0,0
508,0,1,0
509,0,0,1
510,1,0,0
511,0,0,1
512,0,1,0
513,1,0,0
514,0,1,0
515,0,0,1
516,1,0,0
517,0,0,1
518,0,1,0
519,1,0,0
520,0,1,0
521,0,0,1
522,1,0,0
523,0,0,1
524,0,1,0
525,1,0,0
526,0,1,0
527,0,0,1
528,1,0,0
529,0,0,1
530,0,1,0
531,1,0,0
532,0,1,0
533,0,0,1
534,1,0,0
535,0,0,1
536,0,1,0
537,1,0,0
538,0,1,0
539,0,0,1
540,1,0,0
541,0,0,1
542,0,1,0
543,1,0,0
544,0,1,0
545,0,0,1
546,1,0,0
547,0,0,1
548,0,1,0
549,1,0,0
550,0,1,0
551,0,0,1
