,0,1,2
84062,0,1,0
1213,0,0,1
132320,1,0,0
121457,0,0,1
3205,0,1,0
84108,1,0,0
6615,0,1,0
3516,0,0,1
55734,1,0,0
51588,0,0,1
1874,0,1,0
23633,1,0,0
23239,0,1,0
1602,0,0,1
5252,1,0,0
23414,0,0,1
7024,0,1,0
5087,1,0,0
23512,0,1,0
8726,0,0,1
4771,1,0,0
5195,0,0,1
25988,0,1,0
5308,1,0,0
4113,0,1,0
2290,0,0,1
6304,1,0,0
10284,0,0,1
23493,0,1,0
10401,1,0,0
29947,0,1,0
10521,0,0,1
7704,1,0,0
4792,0,0,1
10524,0,1,0
991,1,0,0
6688,0,1,0
6605,0,0,1
6421,1,0,0
54971,0,0,1
55743,0,1,0
4088,1,0,0
6900,0,1,0
4089,0,0,1
4841,1,0,0
4928,0,0,1
5295,0,1,0
1029,1,0,0
6045,0,1,0
7411,0,0,1
1460,1,0,0
6497,0,0,1
25925,0,1,0
10291,1,0,0
26517,0,1,0
6734,0,0,1
7090,1,0,0
22906,0,0,1
168850,0,1,0
3326,1,0,0
4775,0,1,0
8924,0,0,1
3309,1,0,0
5597,0,0,1
23386,0,1,0
11140,1,0,0
114928,0,1,0
3880,0,0,1
7532,1,0,0
23327,0,0,1
5562,0,1,0
3312,1,0,0
10963,0,1,0
8848,0,0,1
7706,1,0,0
4591,0,0,1
26994,0,1,0
9577,1,0,0
2060,0,1,0
6218,0,0,1
23295,1,0,0
54708,0,0,1
9148,0,1,0
7086,1,0,0
84993,0,1,0
29979,0,0,1
55236,1,0,0
1576,0,0,1
79734,0,1,0
11345,1,0,0
11338,0,1,0
55660,0,0,1
6426,1,0,0
10969,0,0,1
1654,0,1,0
3192,1,0,0
10946,0,1,0
2318,0,0,1
23451,1,0,0
4174,0,0,1
1937,0,1,0
11007,1,0,0
90324,0,1,0
10006,0,0,1
8175,1,0,0
6626,0,0,1
10197,0,1,0
23390,1,0,0
7536,0,1,0
84991,0,0,1
6732,1,0,0
10262,0,0,1
9879,0,1,0
3189,1,0,0
23450,0,1,0
9146,0,0,1
27037,1,0,0
3831,0,0,1
57511,0,1,0
64837,1,0,0
667,0,1,0
90410,0,0,1
26088,1,0,0
115106,0,0,1
9472,0,1,0
57474,1,0,0
167838,0,1,0
55845,0,0,1
3798,1,0,0
8766,0,0,1
23191,0,1,0
4692,1,0,0
3799,0,1,0
7260,0,0,1
10133,1,0,0
5718,0,0,1
9861,0,1,0
5710,1,0,0
29110,0,1,0
56893,0,0,1
6233,1,0,0
8078,0,0,1
146691,0,1,0
10318,1,0,0
10015,0,1,0
4646,0,0,1
8887,1,0,0
7311,0,0,1
163,0,1,0
10810,1,0,0
8976,0,1,0
9351,0,0,1
10152,1,0,0
3925,0,0,1
23473,0,1,0
3187,1,0,0
6168,0,1,0
3190,0,0,1
6902,1,0,0
8724,0,0,1
284467,0,1,0
5052,1,0,0
22836,0,1,0
2803,0,0,1
7295,1,0,0
4163,0,0,1
