From	To	Species	Gene Name\
ENSG00000131095	2670	Homo sapiens	glial fibrillary acidic protein(GFAP)\
ENSG00000204540	170679	Homo sapiens	psoriasis susceptibility 1 candidate 1(PSORS1C1)\
ENSG00000131097	51751	Homo sapiens	HIG1 hypoxia inducible domain family member 1B(HIGD1B)\
ENSG00000168389	84879	Homo sapiens	major facilitator superfamily domain containing 2A(MFSD2A)\
ENSG00000204548	245934	Homo sapiens	defensin beta 121(DEFB121)\
ENSG00000204542	29113	Homo sapiens	chromosome 6 open reading frame 15(C6orf15)\
ENSG00000168385	4735	Homo sapiens	septin 2(SEPT2)\
ENSG00000131094	10882	Homo sapiens	complement C1q like 1(C1QL1)\
ENSG00000204544	394263	Homo sapiens	mucin 21, cell surface associated(MUC21)\
ENSG00000182670	7267	Homo sapiens	tetratricopeptide repeat domain 3(TTC3)\
ENSG00000168386	11259	Homo sapiens	filamin A interacting protein 1 like(FILIP1L)\
ENSG00000144395	284992	Homo sapiens	coiled-coil domain containing 150(CCDC150)\
ENSG00000182674	9312	Homo sapiens	potassium voltage-gated channel subfamily B member 2(KCNB2)\
ENSG00000143067	90874	Homo sapiens	zinc finger protein 697(ZNF697)\
ENSG00000182676	116729	Homo sapiens	protein phosphatase 1 regulatory subunit 27(PPP1R27)\
ENSG00000180035	197407	Homo sapiens	zinc finger protein 48(ZNF48)\
ENSG00000155034	80028	Homo sapiens	F-box and leucine rich repeat protein 18(FBXL18)\
ENSG00000179044	283849	Homo sapiens	exocyst complex component 3 like 1(EXOC3L1)\
ENSG00000144381	3329	Homo sapiens	heat shock protein family D (Hsp60) member 1(HSPD1)\
ENSG00000118094	11181	Homo sapiens	trehalase(TREH)\
ENSG00000179046	205860	Homo sapiens	tripartite motif family like 2(TRIML2)\
ENSG00000157693	203197	Homo sapiens	transmembrane protein 268(TMEM268)\
ENSG00000168394	6890	Homo sapiens	transporter 1, ATP binding cassette subfamily B member(TAP1)\
ENSG00000118096	56912	Homo sapiens	intraflagellar transport 46(IFT46)\
ENSG00000132394	60678	Homo sapiens	eukaryotic elongation factor, selenocysteine-tRNA specific(EEFSEC)\
ENSG00000168395	84289	Homo sapiens	inhibitor of growth family member 5(ING5)\
ENSG00000168393	1841	Homo sapiens	deoxythymidylate kinase(DTYMK)\
ENSG00000131067	2686	Homo sapiens	gamma-glutamyltransferase 7(GGT7)\
ENSG00000131069	55902	Homo sapiens	acyl-CoA synthetase short-chain family member 2(ACSS2)\
ENSG00000131068	117285	Homo sapiens	defensin beta 118(DEFB118)\
ENSG00000205867	440021	Homo sapiens	keratin associated protein 5-2(KRTAP5-2)\
ENSG00000204536	54535	Homo sapiens	coiled-coil alpha-helical rod protein 1(CCHCR1)\
ENSG00000254834	390167	Homo sapiens	olfactory receptor family 5 subfamily M member 10(OR5M10)\
ENSG00000204538	170680	Homo sapiens	psoriasis susceptibility 1 candidate 2(PSORS1C2)\
ENSG00000205869	387264	Homo sapiens	keratin associated protein 5-1(KRTAP5-1)\
ENSG00000012504	9971	Homo sapiens	nuclear receptor subfamily 1 group H member 4(NR1H4)\
ENSG00000168398	624	Homo sapiens	bradykinin receptor B2(BDKRB2)\
ENSG00000205863	387911	Homo sapiens	C1q and tumor necrosis factor related protein 9B(C1QTNF9B)\
ENSG00000204531	5460	Homo sapiens	POU class 5 homeobox 1(POU5F1)\
ENSG00000253506	342538	Homo sapiens	nascent polypeptide associated complex alpha subunit 2(NACA2)\
ENSG00000167065	150290	Homo sapiens	dual specificity phosphatase 18(DUSP18)\
ENSG00000131061	84905	Homo sapiens	zinc finger protein 341(ZNF341)\
ENSG00000205864	440023	Homo sapiens	keratin associated protein 5-6(KRTAP5-6)\
ENSG00000168397	23192	Homo sapiens	autophagy related 4B cysteine peptidase(ATG4B)\
ENSG00000179041	23212	Homo sapiens	ribosome biogenesis regulator homolog(RRS1)\
ENSG00000204539	1041	Homo sapiens	corneodesmosin(CDSN)\
ENSG00000179059	132625	Homo sapiens	ZFP42 zinc finger protein(ZFP42)\
ENSG00000155026	222967	Homo sapiens	radial spoke head 10 homolog B(RSPH10B)\
ENSG00000181378	255101	Homo sapiens	cilia and flagella associated protein 65(CFAP65)\
ENSG00000242852	163051	Homo sapiens	zinc finger protein 709(ZNF709)\
ENSG00000180044	401097	Homo sapiens	chromosome 3 open reading frame 80(C3orf80)\
ENSG00000179055	286365	Homo sapiens	olfactory receptor family 13 subfamily D member 1(OR13D1)\
ENSG00000181374	6357	Homo sapiens	C-C motif chemokine ligand 13(CCL13)\
ENSG00000179058	375759	Homo sapiens	chromosome 9 open reading frame 50(C9orf50)\
ENSG00000180043	284418	Homo sapiens	family with sequence similarity 71 member E2(FAM71E2)\
ENSG00000179057	283284	Homo sapiens	immunoglobulin superfamily member 22(IGSF22)\
ENSG00000167074	7008	Homo sapiens	TEF, PAR bZIP transcription factor(TEF)\
ENSG00000181371	219484	Homo sapiens	olfactory receptor family 5 subfamily M member 8(OR5M8)\
ENSG00000204525	3107	Homo sapiens	major histocompatibility complex, class I, C(HLA-C)\
ENSG00000205856	150297	Homo sapiens	chromosome 22 open reading frame 42(C22orf42)\
ENSG00000204524	390980	Homo sapiens	zinc finger protein 805(ZNF805)\
ENSG00000205858	100506049	Homo sapiens	leucine rich repeat containing 72(LRRC72)\
ENSG00000205857	360030	Homo sapiens	NANOG neighbor homeobox(NANOGNB)\
ENSG00000254827	5003	Homo sapiens	solute carrier family 22 member 18 antisense(SLC22A18AS)\
ENSG00000204520	100507436	Homo sapiens	MHC class I polypeptide-related sequence A(MICA)\
ENSG00000230873	401236	Homo sapiens	stathmin domain containing 1(STMND1)\
ENSG00000157680	9162	Homo sapiens	diacylglycerol kinase iota(DGKI)\
ENSG00000205853	10737	Homo sapiens	RFPL3 antisense(RFPL3S)\
ENSG00000167077	150365	Homo sapiens	meiotic double-stranded break formation protein 1(MEI1)\
ENSG00000179051	55920	Homo sapiens	regulator of chromosome condensation 2(RCC2)\
ENSG00000182698	389075	Homo sapiens	regulated endocrine specific protein 18(RESP18)\
ENSG00000155016	113612	Homo sapiens	cytochrome P450 family 2 subfamily U member 1(CYP2U1)\
ENSG00000156345	23552	Homo sapiens	cyclin dependent kinase 20(CDK20)\
ENSG00000155011	27123	Homo sapiens	dickkopf WNT signaling pathway inhibitor 2(DKK2)\
ENSG00000180053	137814	Homo sapiens	NK2 homeobox 6(NKX2-6)\
ENSG00000167085	5245	Homo sapiens	prohibitin(PHB)\
ENSG00000167083	2793	Homo sapiens	G protein subunit gamma transducin 2(GNGT2)\
ENSG00000181381	91351	Homo sapiens	DEAD-box helicase 60-like(DDX60L)\
ENSG00000131043	25980	Homo sapiens	AAR2 splicing factor homolog(AAR2)\
ENSG00000131042	10288	Homo sapiens	leukocyte immunoglobulin like receptor B2(LILRB2)\
ENSG00000204595	503834	Homo sapiens	divergent-paired related homeobox(DPRX)\
ENSG00000204590	2794	Homo sapiens	G protein nucleolar 1 (putative)(GNL1)\
ENSG00000167081	5090	Homo sapiens	PBX homeobox 3(PBX3)\
ENSG00000132376	51763	Homo sapiens	inositol polyphosphate-5-phosphatase K(INPP5K)\
ENSG00000131044	164395	Homo sapiens	tubulin tyrosine ligase like 9(TTLL9)\
ENSG00000204592	3133	Homo sapiens	major histocompatibility complex, class I, E(HLA-E)\
ENSG00000167080	124872	Homo sapiens	beta-1,4-N-acetyl-galactosaminyltransferase 2(B4GALNT2)\
ENSG00000144369	165215	Homo sapiens	family with sequence similarity 171 member B(FAM171B)\
ENSG00000106080	55033	Homo sapiens	FK506 binding protein 14(FKBP14)\
ENSG00000167088	6632	Homo sapiens	small nuclear ribonucleoprotein D1 polypeptide(SNRPD1)\
ENSG00000204599	56658	Homo sapiens	tripartite motif containing 39(TRIM39)\
ENSG00000145692	635	Homo sapiens	betaine--homocysteine S-methyltransferase(BHMT)\
ENSG00000144362	493911	Homo sapiens	phosphatase, orphan 2(PHOSPHO2)\
ENSG00000143032	343472	Homo sapiens	BarH like homeobox 2(BARHL2)\
ENSG00000106086	84725	Homo sapiens	pleckstrin homology domain containing A8(PLEKHA8)\
ENSG00000143033	22823	Homo sapiens	metal response element binding transcription factor 2(MTF2)\
ENSG00000215244	399715	Homo sapiens	uncharacterized LOC399715(LOC399715)\
ENSG00000106089	6804	Homo sapiens	syntaxin 1A(STX1A)\
ENSG00000144366	51454	Homo sapiens	GULP, engulfment adaptor PTB domain containing 1(GULP1)\
ENSG00000143036	126969	Homo sapiens	solute carrier family 44 member 3(SLC44A3)\
ENSG00000131059	128861	Homo sapiens	BPI fold containing family A member 3(BPIFA3)\
ENSG00000181396	79701	Homo sapiens	2-oxoglutarate and iron dependent oxygenase domain containing 3(OGFOD3)\
ENSG00000132383	6117	Homo sapiens	replication protein A1(RPA1)\
ENSG00000131051	9584	Homo sapiens	RNA binding motif protein 39(RBM39)\
ENSG00000132382	10514	Homo sapiens	MYB binding protein 1a(MYBBP1A)\
ENSG00000180061	284417	Homo sapiens	transmembrane protein 150B(TMEM150B)\
ENSG00000167094	158248	Homo sapiens	tetratricopeptide repeat domain 16(TTC16)\
ENSG00000181392	163183	Homo sapiens	spectrin repeat containing nuclear envelope family member 4(SYNE4)\
ENSG00000132386	5176	Homo sapiens	serpin family F member 1(SERPINF1)\
ENSG00000155008	139322	Homo sapiens	apolipoprotein O like(APOOL)\
ENSG00000131055	84701	Homo sapiens	cytochrome c oxidase subunit 4I2(COX4I2)\
ENSG00000132388	7326	Homo sapiens	ubiquitin conjugating enzyme E2 G1(UBE2G1)\
ENSG00000204580	100616237	Homo sapiens	microRNA 4640(MIR4640)\
ENSG00000143028	284612	Homo sapiens	synaptophysin like 2(SYPL2)\
ENSG00000106070	2887	Homo sapiens	growth factor receptor bound protein 10(GRB10)\
ENSG00000131050	140683	Homo sapiens	BPI fold containing family A member 2(BPIFA2)\
ENSG00000167098	140732	Homo sapiens	Sad1 and UNC84 domain containing 5(SUN5)\
ENSG00000145681	1404	Homo sapiens	hyaluronan and proteoglycan link protein 1(HAPLN1)\
ENSG00000144354	83879	Homo sapiens	cell division cycle associated 7(CDCA7)\
ENSG00000106078	23242	Homo sapiens	cordon-bleu WH2 repeat protein(COBL)\
ENSG00000144355	1745	Homo sapiens	distal-less homeobox 1(DLX1)\
ENSG00000145685	10184	Homo sapiens	lipoma HMGIC fusion partner-like 2(LHFPL2)\
ENSG00000106077	83451	Homo sapiens	abhydrolase domain containing 11(ABHD11)\
ENSG00000011201	3730	Homo sapiens	anosmin 1(ANOS1)\
ENSG00000145687	23635	Homo sapiens	single stranded DNA binding protein 2(SSBP2)\
ENSG00000179071	220388	Homo sapiens	coiled-coil domain containing 89(CCDC89)\
ENSG00000144357	130507	Homo sapiens	ubiquitin protein ligase E3 component n-recognin 3 (putative)(UBR3)\
ENSG00000157657	114991	Homo sapiens	zinc finger protein 618(ZNF618)\
ENSG00000242802	9907	Homo sapiens	adaptor related protein complex 5 zeta 1 subunit(AP5Z1)\
ENSG00000132357	84674	Homo sapiens	caspase recruitment domain family member 6(CARD6)\
ENSG00000132359	23108	Homo sapiens	RAP1 GTPase activating protein 2(RAP1GAP2)\
ENSG00000179088	374470	Homo sapiens	chromosome 12 open reading frame 42(C12orf42)\
ENSG00000119383	5524	Homo sapiens	protein phosphatase 2 phosphatase activator(PTPA)\
ENSG00000204572	387273	Homo sapiens	keratin associated protein 5-10(KRTAP5-10)\
ENSG00000204571	440051	Homo sapiens	keratin associated protein 5-11(KRTAP5-11)\
ENSG00000204574	23	Homo sapiens	ATP binding cassette subfamily F member 1(ABCF1)\
ENSG00000180071	253650	Homo sapiens	ankyrin repeat domain 18A(ANKRD18A)\
ENSG00000131023	9113	Homo sapiens	large tumor suppressor kinase 1(LATS1)\
ENSG00000157653	257169	Homo sapiens	chromosome 9 open reading frame 43(C9orf43)\
ENSG00000157654	114299	Homo sapiens	paralemmin 2(PALM2)\
ENSG00000133687	83857	Homo sapiens	transmembrane and tetratricopeptide repeat containing 1(TMTC1)\
ENSG00000024526	55635	Homo sapiens	DEP domain containing 1(DEPDC1)\
ENSG00000158985	56990	Homo sapiens	CDC42 small effector 2(CDC42SE2)\
ENSG00000118058	4297	Homo sapiens	lysine methyltransferase 2A(KMT2A)\
ENSG00000132356	5562	Homo sapiens	protein kinase AMP-activated catalytic subunit alpha 1(PRKAA1)\
ENSG00000158987	51735	Homo sapiens	Rap guanine nucleotide exchange factor 6(RAPGEF6)\
ENSG00000229833	100131801	Homo sapiens	PET100 homolog(PET100)\
ENSG00000204576	80742	Homo sapiens	proline rich 3(PRR3)\
ENSG00000204577	11025	Homo sapiens	leukocyte immunoglobulin like receptor B3(LILRB3)\
ENSG00000179085	54344	Homo sapiens	dolichyl-phosphate mannosyltransferase subunit 3(DPM3)\
ENSG00000120370	92344	Homo sapiens	golgin, RAB6 interacting(GORAB)\
ENSG00000145675	5295	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 1(PIK3R1)\
ENSG00000143013	8543	Homo sapiens	LIM domain only 4(LMO4)\
ENSG00000179083	286499	Homo sapiens	family with sequence similarity 133 member A(FAM133A)\
ENSG00000156313	6103	Homo sapiens	retinitis pigmentosa GTPase regulator(RPGR)\
ENSG00000131037	54869	Homo sapiens	EPS8 like 1(EPS8L1)\
ENSG00000180089	255043	Homo sapiens	transmembrane protein 86B(TMEM86B)\
ENSG00000215218	134111	Homo sapiens	ubiquitin conjugating enzyme E2 Q family like 1(UBE2QL1)\
ENSG00000119392	2733	Homo sapiens	GLE1, RNA export mediator(GLE1)\
ENSG00000215217	134121	Homo sapiens	chromosome 5 open reading frame 49(C5orf49)\
ENSG00000132361	23277	Homo sapiens	clustered mitochondria homolog(CLUH)\
ENSG00000204560	8449	Homo sapiens	DEAH-box helicase 16(DHX16)\
ENSG00000119396	51552	Homo sapiens	RAB14, member RAS oncogene family(RAB14)\
ENSG00000180083	259239	Homo sapiens	WAP four-disulfide core domain 11(WFDC11)\
ENSG00000119397	11064	Homo sapiens	centriolin(CNTRL)\
ENSG00000205890	100128770	Homo sapiens	uncharacterized LOC100128770(LOC100128770)\
ENSG00000204569	5514	Homo sapiens	protein phosphatase 1 regulatory subunit 10(PPP1R10)\
ENSG00000205899	727857	Homo sapiens	basic helix-loop-helix family member a9(BHLHA9)\
ENSG00000204568	28973	Homo sapiens	mitochondrial ribosomal protein S18B(MRPS18B)\
ENSG00000143006	63948	Homo sapiens	DMRT like family B with proline rich C-terminal 1(DMRTB1)\
ENSG00000144339	23671	Homo sapiens	transmembrane protein with EGF like and two follistatin like domains 2(TMEFF2)\
ENSG00000204564	221545	Homo sapiens	chromosome 6 open reading frame 136(C6orf136)\
ENSG00000228517	653282	Homo sapiens	cancer/testis antigen family 47, member A7(CT47A7)\
ENSG00000179097	3355	Homo sapiens	5-hydroxytryptamine receptor 1F(HTR1F)\
ENSG00000144331	151126	Homo sapiens	zinc finger protein 385B(ZNF385B)\
ENSG00000143001	199964	Homo sapiens	transmembrane protein 61(TMEM61)\
ENSG00000179091	1537	Homo sapiens	cytochrome c1(CYC1)\
ENSG00000179094	102465532	Homo sapiens	microRNA 6883(MIR6883)\
ENSG00000074800	2023	Homo sapiens	enolase 1(ENO1)\
ENSG00000106049	11112	Homo sapiens	3-hydroxyisobutyrate dehydrogenase(HIBADH)\
ENSG00000158966	57685	Homo sapiens	cache domain containing 1(CACHD1)\
ENSG00000157637	124565	Homo sapiens	solute carrier family 38 member 10(SLC38A10)\
ENSG00000180098	54952	Homo sapiens	tRNA selenocysteine 1 associated protein 1(TRNAU1AP)\
ENSG00000180096	1731	Homo sapiens	septin 1(SEPT1)\
ENSG00000133661	6441	Homo sapiens	surfactant protein D(SFTPD)\
ENSG00000132330	51540	Homo sapiens	selenocysteine lyase(SCLY)\
ENSG00000133665	84332	Homo sapiens	DPY30 domain containing 2(DYDC2)\
ENSG00000134996	26578	Homo sapiens	osteoclast stimulating factor 1(OSTF1)\
ENSG00000180090	4994	Homo sapiens	olfactory receptor family 3 subfamily A member 1(OR3A1)\
ENSG00000132334	5791	Homo sapiens	protein tyrosine phosphatase, receptor type E(PTPRE)\
ENSG00000131002	246126	Homo sapiens	taxilin gamma pseudogene, Y-linked(TXLNGY)\
ENSG00000156304	57466	Homo sapiens	SR-related CTD associated factor 4(SCAF4)\
ENSG00000062822	5424	Homo sapiens	DNA polymerase delta 1, catalytic subunit(POLD1)\
ENSG00000036530	10858	Homo sapiens	cytochrome P450 family 46 subfamily A member 1(CYP46A1)\
ENSG00000205809	3822	Homo sapiens	killer cell lectin like receptor C2(KLRC2)\
ENSG00000107372	7763	Homo sapiens	zinc finger AN1-type containing 5(ZFAND5)\
ENSG00000205808	403313	Homo sapiens	phospholipid phosphatase 6(PLPP6)\
ENSG00000107371	51010	Homo sapiens	exosome component 3(EXOSC3)\
ENSG00000121680	9409	Homo sapiens	peroxisomal biogenesis factor 16(PEX16)\
ENSG00000144320	80856	Homo sapiens	lunapark, ER junction formation factor(LNPK)\
ENSG00000106038	2128	Homo sapiens	even-skipped homeobox 1(EVX1)\
ENSG00000158955	7484	Homo sapiens	Wnt family member 9B(WNT9B)\
ENSG00000131016	9590	Homo sapiens	A-kinase anchoring protein 12(AKAP12)\
ENSG00000131015	80328	Homo sapiens	UL16 binding protein 2(ULBP2)\
ENSG00000157625	257397	Homo sapiens	TGF-beta activated kinase 1/MAP3K7 binding protein 3(TAB3)\
ENSG00000131018	23345	Homo sapiens	spectrin repeat containing nuclear envelope protein 1(SYNE1)\
ENSG00000133678	80195	Homo sapiens	transmembrane protein 254(TMEM254)\
ENSG00000131019	79465	Homo sapiens	UL16 binding protein 3(ULBP3)\
ENSG00000132341	5901	Homo sapiens	RAN, member RAS oncogene family(RAN)\
ENSG00000023228	4719	Homo sapiens	NADH:ubiquinone oxidoreductase core subunit S1(NDUFS1)\
ENSG00000118046	6794	Homo sapiens	serine/threonine kinase 11(STK11)\
ENSG00000131013	85313	Homo sapiens	peptidylprolyl isomerase like 4(PPIL4)\
ENSG00000145649	3001	Homo sapiens	granzyme A(GZMA)\
ENSG00000121691	847	Homo sapiens	catalase(CAT)\
ENSG00000108691	6347	Homo sapiens	C-C motif chemokine ligand 2(CCL2)\
ENSG00000106031	3209	Homo sapiens	homeobox A13(HOXA13)\
ENSG00000107362	51104	Homo sapiens	abhydrolase domain containing 17B(ABHD17B)\
ENSG00000121690	91614	Homo sapiens	DEP domain containing 7(DEPDC7)\
ENSG00000106034	79974	Homo sapiens	cadherin like and PC-esterase domain containing 1(CPED1)\
ENSG00000011243	26993	Homo sapiens	A-kinase anchoring protein 8 like(AKAP8L)\
ENSG00000145642	100132916	Homo sapiens	family with sequence similarity 159 member B(FAM159B)\
ENSG00000074803	6557	Homo sapiens	solute carrier family 12 member 1(SLC12A1)\
ENSG00000157613	90993	Homo sapiens	cAMP responsive element binding protein 3 like 1(CREB3L1)\
ENSG00000132313	51318	Homo sapiens	mitochondrial ribosomal protein L35(MRPL35)\
ENSG00000157617	25966	Homo sapiens	C2 calcium dependent domain containing 2(C2CD2)\
ENSG00000049860	3074	Homo sapiens	hexosaminidase subunit beta(HEXB)\
ENSG00000134970	51014	Homo sapiens	transmembrane p24 trafficking protein 7(TMED7)\
ENSG00000158941	57805	Homo sapiens	cell cycle and apoptosis regulator 2(CCAR2)\
ENSG00000133640	84125	Homo sapiens	leucine rich repeats and IQ motif containing 1(LRRIQ1)\
ENSG00000133641	91298	Homo sapiens	chromosome 12 open reading frame 29(C12orf29)\
ENSG00000011258	54799	Homo sapiens	mbt domain containing 1(MBTD1)\
ENSG00000146966	27147	Homo sapiens	DENN domain containing 2A(DENND2A)\
ENSG00000120337	8995	Homo sapiens	tumor necrosis factor superfamily member 18(TNFSF18)\
ENSG00000118017	51146	Homo sapiens	alpha-1,4-N-acetylglucosaminyltransferase(A4GNT)\
ENSG00000120334	91687	Homo sapiens	centromere protein L(CENPL)\
ENSG00000144306	79634	Homo sapiens	secernin 3(SCRN3)\
ENSG00000120332	63923	Homo sapiens	tenascin N(TNN)\
ENSG00000106066	54504	Homo sapiens	carboxypeptidase, vitellogenic like(CPVL)\
ENSG00000120333	63931	Homo sapiens	mitochondrial ribosomal protein S14(MRPS14)\
ENSG00000050820	9564	Homo sapiens	BCAR1, Cas family scaffolding protein(BCAR1)\
ENSG00000106069	101928168	Homo sapiens	uncharacterized LOC101928168(LOC101928168)\
ENSG00000145632	10769	Homo sapiens	polo like kinase 2(PLK2)\
ENSG00000146963	51631	Homo sapiens	LUC7 like 2, pre-mRNA splicing factor(LUC7L2)\
ENSG00000133657	79572	Homo sapiens	ATPase 13A3(ATP13A3)\
ENSG00000134986	9315	Homo sapiens	neuronal regeneration related protein(NREP)\
ENSG00000134987	134430	Homo sapiens	WD repeat domain 36(WDR36)\
ENSG00000132326	8864	Homo sapiens	period circadian clock 2(PER2)\
ENSG00000132329	10267	Homo sapiens	receptor activity modifying protein 1(RAMP1)\
ENSG00000011260	51096	Homo sapiens	UTP18, small subunit processome component(UTP18)\
ENSG00000132321	79781	Homo sapiens	IQ motif containing with AAA domain 1(IQCA1)\
ENSG00000134982	324	Homo sapiens	APC, WNT signaling pathway regulator(APC)\
ENSG00000132323	80895	Homo sapiens	ILK associated serine/threonine phosphatase(ILKAP)\
ENSG00000157600	84187	Homo sapiens	transmembrane protein 164(TMEM164)\
ENSG00000157601	4599	Homo sapiens	MX dynamin like GTPase 1(MX1)\
ENSG00000146955	401409	Homo sapiens	RAB19, member RAS oncogene family(RAB19)\
ENSG00000145623	9180	Homo sapiens	oncostatin M receptor(OSMR)\
ENSG00000145626	133688	Homo sapiens	UDP glycosyltransferase family 3 member A1(UGT3A1)\
ENSG00000121671	1408	Homo sapiens	cryptochrome circadian clock 2(CRY2)\
ENSG00000106052	8887	Homo sapiens	Tax1 binding protein 1(TAX1BP1)\
ENSG00000229809	146542	Homo sapiens	zinc finger protein 688(ZNF688)\
ENSG00000036549	26009	Homo sapiens	zinc finger ZZ-type containing 3(ZZZ3)\
ENSG00000146950	357	Homo sapiens	shroom family member 2(SHROOM2)\
ENSG00000120341	89866	Homo sapiens	SEC16 homolog B, endoplasmic reticulum export factor(SEC16B)\
ENSG00000134955	219855	Homo sapiens	solute carrier family 37 member 2(SLC37A2)\
ENSG00000106004	3202	Homo sapiens	homeobox A5(HOXA5)\
ENSG00000108669	9267	Homo sapiens	cytohesin 1(CYTH1)\
ENSG00000107338	6461	Homo sapiens	SH2 domain containing adaptor protein B(SHB)\
ENSG00000074842	56005	Homo sapiens	myeloid derived growth factor(MYDGF)\
ENSG00000108666	64149	Homo sapiens	chromosome 17 open reading frame 75(C17orf75)\
ENSG00000134954	2113	Homo sapiens	ETS proto-oncogene 1, transcription factor(ETS1)\
ENSG00000106006	3203	Homo sapiens	homeobox A6(HOXA6)\
ENSG00000106009	221927	Homo sapiens	BRCA1 associated ATM activator 1(BRAT1)\
ENSG00000110987	605	Homo sapiens	BCL tumor suppressor 7A(BCL7A)\
ENSG00000049883	79810	Homo sapiens	pentatricopeptide repeat domain 2(PTCD2)\
ENSG00000133627	57180	Homo sapiens	ARP3 actin related protein 3 homolog B(ACTR3B)\
ENSG00000119321	23307	Homo sapiens	FK506 binding protein 15(FKBP15)\
ENSG00000086827	9183	Homo sapiens	zw10 kinetochore protein(ZW10)\
ENSG00000204514	730051	Homo sapiens	zinc finger protein 814(ZNF814)\
ENSG00000120314	54853	Homo sapiens	WD repeat domain 55(WDR55)\
ENSG00000119326	8727	Homo sapiens	catenin alpha like 1(CTNNAL1)\
ENSG00000204516	4277	Homo sapiens	MHC class I polypeptide-related sequence B(MICB)\
ENSG00000121644	51029	Homo sapiens	desumoylating isopeptidase 2(DESI2)\
ENSG00000119328	54942	Homo sapiens	family with sequence similarity 206 member A(FAM206A)\
ENSG00000205846	93978	Homo sapiens	C-type lectin domain family 6 member A(CLEC6A)\
ENSG00000204510	441871	Homo sapiens	PRAME family member 7(PRAMEF7)\
ENSG00000120318	64411	Homo sapiens	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3(ARAP3)\
ENSG00000204511	401250	Homo sapiens	mitochondrial coiled-coil domain 1(MCCD1)\
ENSG00000109991	5024	Homo sapiens	purinergic receptor P2X 3(P2RX3)\
ENSG00000133619	84626	Homo sapiens	KRAB-A domain containing 1(KRBA1)\
ENSG00000011275	54476	Homo sapiens	ring finger protein 216(RNF216)\
ENSG00000204518	343066	Homo sapiens	arylacetamide deacetylase like 4(AADACL4)\
ENSG00000107331	20	Homo sapiens	ATP binding cassette subfamily A member 2(ABCA2)\
ENSG00000122971	35	Homo sapiens	acyl-CoA dehydrogenase, C-2 to C-3 short chain(ACADS)\
ENSG00000106003	3955	Homo sapiens	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(LFNG)\
ENSG00000204519	90233	Homo sapiens	zinc finger protein 551(ZNF551)\
ENSG00000122970	28981	Homo sapiens	intraflagellar transport 81(IFT81)\
ENSG00000048545	2978	Homo sapiens	guanylate cyclase activator 1A(GUCA1A)\
ENSG00000074855	57719	Homo sapiens	anoctamin 8(ANO8)\
ENSG00000133636	4922	Homo sapiens	neurotensin(NTS)\
ENSG00000048544	55173	Homo sapiens	mitochondrial ribosomal protein S10(MRPS10)\
